2024,,2023,,2022,,2021,,2020,,2019,,2018,,2017,,2016,,2015,,2014,,2013,,2012,,2011,,2010,,2009,,2008,,2007,,2006,,2005,,2004,,2003,,2002,,2001,,2000,,1999,,1998,,1997,,1996,,1995,,1994,,1993,,1992,,1991,,1990,,1989,,1988,,1987,,1986,,1985,,1984,,1983,,1982,,1981,,1980,,1979,,1978,,1977,,1976,,1975,,1974,,1973,,1972,,1971,,1970
jun,30.4,jun,49.4,jun,43.6,jun,12.6,jun,69.6,jun,82.9,jun,4.8,jun,86.4,jun,58.5,jun,14.1,jun,36.2,jun,60.8,jun,147.7,jun,64.3,jun,50.3,jun,64.3,jun,76.4,jun,126.4,jun,26.5,jun,31.2,jun,50.6,jun,86.8,jun,81.2,jun,41.5,jun,30.9,jun,56.3,jun,113.1,jun,125.3,jun,20.8,jun,11.6,jun,21.2,jun,148.3,jun,37.4,jun,79.8,jun,71.3,jun,67.8,jun,38.1,jun,112.5,jun,82.1,jun,78.5,jun,38.1,jun,54.6,jun,102.2,jun,77.1,jun,79,jun,44,jun,37.1,jun,65.5,jun,22.5,jun,14.9,jun,39.5,jun,20.2,jun,58.6,jun,71.8,jun,31.6
jul,37.7,jul,149.2,jul,29.6,jul,72.9,jul,98.9,jul,41,jul,40,jul,42.2,jul,43.7,jul,69.2,jul,35,jul,68.8,jul,85.3,jul,42.6,jul,78.5,jul,165.4,jul,111.4,jul,127.1,jul,18.2,jul,83.4,jul,38.1,jul,47.6,jul,68.9,jul,30.5,jul,48,jul,35.3,jul,54.2,jul,54.1,jul,36.8,jul,70.2,jul,64.5,jul,60.1,jul,69.9,jul,26.4,jul,48,jul,9.6,jul,80.3,jul,32.6,jul,57.5,jul,107.2,jul,30.8,jul,18.1,jul,9.2,jul,35.5,jul,39.4,jul,47,jul,50.5,jul,26.1,jul,82.8,jul,27.8,jul,99.7,jul,72.8,jul,41.1,jul,62.8,jul,68.2
aug,36.6,aug,119.4,aug,34.6,aug,65.3,aug,87.1,aug,91.9,aug,48,aug,73.2,aug,61.9,aug,100.1,aug,173,aug,48.5,aug,78.1,aug,39.7,aug,48,aug,69.5,aug,189.9,aug,95.5,aug,57.6,aug,26,aug,139.9,aug,14.5,aug,50.8,aug,97.1,aug,62.8,aug,106.8,aug,45,aug,81.2,aug,102.9,aug,7.2,aug,58.6,aug,36.8,aug,85.3,aug,36.9,aug,49.8,aug,81.9,aug,54.5,aug,87.4,aug,158.7,aug,124.6,aug,95,aug,45.4,aug,65.6,aug,11.6,aug,97.8,aug,96.5,aug,116.7,aug,68.1,aug,6.6,aug,35.9,aug,30.2,aug,108.9,aug,24,aug,66.9,aug,68.3
