year,tonnes of hay
2023,520.8
2022,720
2021,662.4
2020,393
2019,636
2018,506.8
2017,681.7
2016,647.7
2015,696.6
2014,717
2013,545.3
2012,707.9
2011,929.2
2010,669.2
2009,690.1
2008,992.8
2007,713.4
2006,801
2005,802.7
2004,1019.2
2003,794.1
2002,867.2
2001,769.2
2000,737.4
1999,597.4
1998,673
1997,724.5
1996,771.2
1995,583
1994,572
1993,539
1992,714
1991,673.6
1990,598
1989,459
1988,455
1987,387
1986,412
1985,495
