grain,year
7.5,2023
8.9,2022
8.9,2021
7.6,2020
9,2019
7.1,2018
8.8,2017
8.2,2016
9,2015
8.5,2014
7.8,2013
6.8,2012
8.5,2011
7.5,2010
6.9,2009
7.7,2008
7.3,2007
7.6,2006
7,2005
8.2,2004
7.2,2003
6.6,2002
7.6,2001
7.8,2000
7.2,1999
6.3,1998
6.4,1997
7.4,1996
6.7,1995
6.1,1994
5.8,1993
6.8,1992
6.6,1991
6.6,1990
6,1989
6.4,1988
6,1987
5.2,1986
5.1,1985
